site,role,job_level,company_name,location,job_description,salary_range,min_salary,max_salary
indeed,data analyst,,rhp,teddington tw,connect dynamic data looking month fixed term contract technical change programme transforming business implementing supporting systems need energetic meticulous data analyst support programme investigating datasets data issues documenting decisions mappings carrying data assurance checks would blow us away strong technical skills sql formal data governance looking solid track record less technical meticulous data analysis improvement work especially track record social housing attention detail means youll provide accurate analysis natural curiosity drive continuously look insight hello rhp purpose provide safe secure affordable homes opening door life opportunities manage around homes social rent shared ownership plan build many next five years formed years gradually extended reach today proud operate across boroughs richmond hounslow kingston ealing hillingdon past twenty years weve passionate providing excellent service vision remained one best service providers uk excellent employer employees love working us weve recognised excellent employer several prestigious awards achieving investors people platinum status ranking top ten great place work list twice gained gold accreditation part mind workplace wellbeing index named family friendly employer year personnel today awards connecting difference embrace understand value diversity brings make us better stronger thats key part culture create environment everyone treated fairly equally important us feel valued appreciated free,,nan,nan
indeed,junior commercial analyst,entry,university college london,london,ref number b professional expertise commercial procurement department vicepresident operations b location london working pattern full time salary contract type permanent working type remote site available secondment closing date nov us ucl londons leading multidisciplinary university staff students different countries well global leader teaching ucl also recognised one successful research institutions world ucl spends million per year third parties aim procurement function deliver first class procurement service supports ucls sustainable procurement strategy aims ucl organisation recognises significant benefits could delivered effective sourcing supplier management combined better demand management delivering strong revenue growth whilst effectively managing cost base provide ucl financial capacity required invest future deliver strategic plan role main purpose job support category team providing analytical administrative operational support provide reports updates data mi strategy operations team provide analytical support respect projects procurements wider initiatives work data identify patterns trends develop matrices measures support contract supplier performance management duties responsibilities role supportive handson team player provide analytical administrative operational support category team conducting data analysis identify patterns trends drive value money vfm enable effective commercial decisionmaking producing detailed reports deliver specified objectives outputs maintaining accurate records using sharepoint ms office tools supporting contract administration management supplier performance management activity workstreams working collaboratively support operations team providing reports updates data mi together category insights developing adopting examples good practice planning organising project team meetings events role provides significant development opportunities postholder gain commercial experience skills offer well exciting opportunities role presents also offer great benefits days holiday days annual leave bank holiday closure days additional days annual leave purchase scheme defined benefit career average revalued earnings pension scheme care cycle work scheme season ticket loan immigration loan relocation scheme certain posts onsite nursery onsite gym enhanced maternity paternity adoption pay employee assistance programme staff support service discounted medical insurance visit httpswwwuclacukworkatuclrewardsandbenefits find commitment equality diversity inclusion londons global university know diversity fosters creativity innovation want community represent diversity worlds talent committed equality opportunity fair inclusive place belong therefore particularly encourage applications candidates likely underrepresented ucls workforce include people black asian ethnic minority backgrounds disabled people lgbtqi people grade roles women,,nan,nan
indeed,data and systems analyst,,university of birmingham guild of students,hybrid remote in birmingham,data systems analyst gross per annum hours per week role data systems analyst work closely senior systems coordinator monitor guilds delivery strategic plan measure performance associated key performance indicator kpis role make use data research insight analysis report findings influence promote successful delivery strategic plan role also frequently monitor produce reports strategic progress trustee board senior management team order guild best meet key performance indicators success role require highly student customer focused approach together emphasis teamwork role involves collaboration internal external stakeholders acting positive ambassador guild facilitating underrepresented groups find comfortable place benefits offer great benefits including days close christmas easter year additional bank holidays days annual leave rising days years service meaning work christmas new year easter full sick pay moment start working us comprehensive suite basic training employees includes equality diversity mental health awareness data protection discounted membership rates university birmingham sport fitness opportunity new staff join nest pension scheme guild contributes matched payment salary range wellbeing benefits times best companies work employer recent staff survey march staff said would recommend organisation good place work guild students committed equality diversity inclusion welcomes applications members community closing date applications wednesday th november interviews provisionally expected take place friday th november apply view information role please visit httpswwwguildofstudentscomaboutyourunionworkwithuscurrentvacancies need complete application alternative format please email staffingguildbhamacuk job types permanent fulltime salary per year benefits onsite parking paid volunteer time work home schedule monday friday work location hybrid remote birmingham,,nan,nan
indeed,information analyst,,croydon health services nhs trust,croydon,please see attached supporting document contains information role job description person specification information analyst band exciting opportunity arisen within trusts information team information analyst support provision high quality data trusts acute community services successful candidate support senior information analyst production accurate timely reports trust external organisations includes trusts statutory submissions ie ae daily sitrep rtt covid dm reporting routine regular operational reports adhoc requests good communication interpersonal skills essential role experience sql excel proposed interview date th december croydon health services nhs trust provide hospital community services number community specialist clinics throughout croydon include croydon university hospital purley hospital sickle cell thalassaemia centre thornton heath community bases purley sanderstead new addington broad green woodside minor injuries unit new addington trust formed st august integration croydon community health services mayday healthcare nhs trust around staff provide services population people relatively young high level ethnic diversity vision excellent integrated care family need key promises people croydon feel cared helpful welcoming staff feel safe hands highly professional staff feel confident treatment skilled teams compassionate clinicians feel value time convenient appointments minimal waiting care closer home feel getting better time continue improve services please see attached supporting document contains information role job description person specification,,nan,nan
indeed,guest data analyst,,lululemon,hybrid remote in london,lululemon innovative performance apparel company yoga running training athletic pursuits setting bar technical fabrics functional design create transformational products experiences support people moving growing connecting well owe success innovative product emphasis stores commitment people incredible connections make every community company focus creating positive change build healthier thriving future particular includes creating equitable inclusive growthfocused environment people team built core philosophy fostering authentic strong relationships guests customers crm analytics team newly formed area digital function responsible delivering impactful guest insights support emea business strategy role use data analytics support email loyalty teams defining personalised experiences across segments shaping datadriven strategies increase loyalty also feed development crm initiatives reporting crossfunctional education guest behaviour day life youll apply analytics data science customer marketing data support meaningful guest experiences support endtoend analysis reporting projects identifying opportunities helping define appropriate methodologies conducting analysis creating deliverables complete data driven recommendations partner internal stakeholders understand guest strategy evaluate adhoc business questions propose analytical solutions knowledge guest behaviour visualise communicate concise insights leadership across organisation build customer centric reporting standardise measurement marketing effectiveness overall business performance feed quarterly annual forecasting support financial planning contribute ideas roadmap sustained growth data analytics lululemon qualifications skills experience years experience working data analytics similar technical role preferably retail fashion industry deep knowledge sql data analysis knowledgeable statistical language python r using relevant packages eg ggplot tidyverse scikitlearn causal impact prophet experience using data visualisation tools powerbi tableau able distil complex findings key points strong technical storytelling skills appetite embed findings within business strong stakeholder relationships experience using digital analytics tools bonus must haves acknowledge presence choice every moment take personal responsibility possess entrepreneurial spirit continuously innovate achieve great results communicate honesty kindness create space others lead courage knowing possibility greatness bigger fear failure foster connection putting people first building trusting relationships integrate fun joy way working role classification role classified hybrid global ssc hybrid workplace policy inperson collaboration important much role performed remotely work performed office least days per week,,nan,nan
indeed,apprentice dpru data analyst,,arden and gem commissioning support unit,leicester le,overall purpose health informatics enable promote support effective use data insight intelligence improve healthcare outcomes delivery excellent opportunity smart ambitious selfmotivated individual join friendly environment looking individual interest data analytics keen establish career nhs health informatics get opportunity learn basics nhs data commissioner perspective utilising developing wide range data analytical skills postholder strong communicator attention detail great team player well desire learn develop professionally successful candidate work towards level data analyst apprenticeship resulting equivalent higher national certificate whilst also gaining valuable training work experience wellestablished data analytics service although role banded band level annex agenda change applieshttpswwwnhsemployersorgpublicationstchandbookannex means salary follows year top pay band year top pay band attend support operational meetings required performing database queries routine adhoc extracting data analysis assisting production range adhoc standard data analysis reports developing excel technical skills sql assisting production routine performance dashboards reports assisting data quality checking validation reporting assist receipt input validation data sets returns trusts providers agencies strict deadlines support senior analysts major work areas ensure delivery core service deliverables deadlines working support within departmental procedures referring senior staff necessary ensure patient confidentiality gdpr principals understood adhered assist ensuring core data flows received ensure commissioning analysis teams customer teams dc functions informed follow required report request logging process including tracking adhocs applicants right work uk duration contract period preemployment requirement eligible government apprenticeship funding applicants also ordinarily resident uk least last years guidance found govuk website multi awardwinning organisation achieved prestigiousinvestors people gold awardfor invest people invest wellbeing passionate creating inclusive workplace promotes values diversity believe every team member opportunity contribute share ideas reward hard work commitment people following benefits competitive salary annual pay reviews generous annual leave entitlement starting days membership nhs pension scheme flexible working family friendly policies including enhanced parental leave pay wide range inhouse external learning development opportunities access salary sacrifice discount schemes access employee assistance occupational health services please download attached job description information full duties responsibilities role,,nan,nan
indeed, data manageranalyst pp,,nhs scotland,edinburgh eh,nhs scotland committed encouraging equality diversity among workforce eliminating unlawful discrimination aim workforce truly representative employee feel respected able give best end nhs scotland welcomes applications sections society applications welcome full time data manageranalyst post based royal infirmary edinburgh selfmotivated flexible good problem solver communicator experience coding data extraction manipulation r python sql languages managed projects data produced quality reports deadlines looking someone like join small friendly team lead data management projects help improve access data provide high quality data technical support clinicians stakeholders informal discussion please contact lisanormannhslothianscotnhsuk hilaryguthrienhslothianscotnhsuk post requires post holder pvg scheme membership record post holder current pvg member required regulatory group ie child andor adult application need made disclosure scotland deemed satisfactory begin post interviews held th december,,nan,nan
indeed,graduate data analyst nottingham,,experian,hybrid remote in nottingham ng,fulltime employee status regular role type hybrid department data management schedule full time company description discover unexpected experian worlds leading global information services company passionate unlocking power data order transform lives create opportunities consumers businesses society years weve helped economies communities flourish done k amazing employees countries believe possibilities world growing investing future new technologies talented people innovation help create better tomorrow employ brightest minds share purpose want make difference job description experian global leader data analytics access incredibly rich data packaged delivered clients many different ways analytics unlock value data use help people businesses society graduate data analyst experian youll work one business areas responsible guidance data analysis model development address range business problems youll achieve developing programming skills commonly used industry wide languages python r sql scala order extract manipulate analyse data helping make sense data deriving insights trends may also chance develop modelling skills application predictive modelling techniques progress broaden knowledge business increase understanding data governance data operations processes data intelligence implementation standardisation automation analytic procedures variety exciting work makes experian place launch career depending business area join may also opportunity job rotations choose join us youll receive industry training widereaching career opportunities wealth support early careers network buddy line manager mentor scheme youll also join onto year structured graduate development programme packed workshops shortcourses online material designed help kickstart career concept simple believe expanding horizons makes experian global leader top uk tech employer qualifications youll recently achieved track achieve minimum degree classification due technical nature role bachelors degree high mathematical content eg computer science data science mathematics statistics operations research economics physical sciences engineering encouraged knowledge machine learning computer programming eg sas python r statistical techniques data visualisation tools eg tableau powerbi valuable essential role important youre type character isnt going give hit complex problem proactivity curiosity best friends role must graduating graduated within last three years graduates whilst adopted hybrid way working role based nottingham requires successful applicant work office least two days per week please apply location would suitable additional information application closing date sunday th november aim respond applications later week closing date start date september starting salary role aim hold online assessment centres wc nd january subject change click read early careers guide candidates uniqueness truly celebrate experians culture people key differentiators take people agenda seriously focus truly matters dei worklife balance development authenticity engagement collaboration wellness reward recognition volunteering list goes award winning organisation due strong people first approach innovation critical part experians dna practices diverse workforce drives success everyone succeed experian bring whole self work irrespective gender ethnicity colour sexuality physical ability age disability special need requires accommodation please let us know earliest opportunity look forward receiving application experian careers creating better tomorrow together,,nan,nan
indeed,data analyst apprentice,,sirona care  health cic,clevedon bs,please read attached job description person specification full details role applying,,nan,nan
indeed,data analyst,,bangura solutions,hybrid remote in manchester,role data analyst contracting authority government contract length months location hybridmanchester ir inside pay rate security clearance bpssnppv exciting opportunity become available prestigious client prominent government department client seeking experienced data analyst join welcoming team data analyst role client seeking experienced data analyst work project delivery function main aspect role involve providing data expertise lead define data strategy interpret analyse design data requirements wide variety business needs also expected gatherinterpret data analyse data provide statistical outlines lead definition implementation data strategy data design support system configuration cleanse data approach defining data quality able manage range data samples define implement data processes carryout data mining design data visualisation requirements able present data range formats utilise range data software experienceskills please apply date cv asap minorities women lgbtq candidates individuals disabilities encouraged apply interviews take place next week please apply immediately considered exciting contract role call bangura solutions discuss role,,nan,nan
indeed,data analyst teaching learning and student experience,,the university of manchester,hybrid remote in manchester m,planning compliance governance team seeking highly motivated skilled data analyst join team faculty humanities focusing teaching learning data postholder work across faculty schools teaching learning student experience tlse business area including teaching tlse leadership team committees provide valuable insights drive improvements teaching learning student experience postholder play pivotal role undertaking highlevel analysis variety datasets preparing presenting interpretations findings insights clear concise manner support performance monitoring operational prioritisation inform strategic decision making based faculty humanities offices planning compliance governance team alongside team skilled data analysts postholder play pivotal role collaborating various stakeholders involve working closely providing essential support data analysts within academic schools role strong emphasis developing expertise becoming subject matter expert facilitate effective utilisation business intelligence data analysis techniques throughout faculty furthermore post holder actively engage senior academic professional services colleagues gain indepth insights unique data needs ensuring datadriven solutions align seamlessly strategic objectives priorities postholder also join universitys data analyst network facilitates sharing knowledge best practices data modelling data visualisation data analysts working across university establish institutional standards data governance reporting aiming improving accessibility reliable data reports users across organisation get return fantastic market leading pension scheme excellent employee health wellbeing services including employee assistance programme exceptional starting annual leave entitlement plus bank holidays additional paid closure christmas period local national discounts range major retailers equal opportunities employer welcome applicants sections community regardless age sex gender gender identity ethnicity disability sexual orientation transgender status appointments made merit university positive flexible working find hybrid working arrangements may considered please note unable respond enquiries accept cvs applications recruitment agencies recruitment enquiries recruitment agencies directed peoplerecruitmentmanchesteracuk cvs submitted recruitment agency considered gift enquiries vacancy shortlisting interviews name xin wang management information analyst email xinwangmanchesteracuk general enquiries email peoplerecruitmentmanchesteracuk technical support httpsjobseekersupportjobtraincouksupporthome vacancy close applications midnight closing date please see link particulars document contains person specification criteria,,nan,nan
indeed,data insight analyst,,university of southampton,southampton,rr university southampton world leading researchintensive university highquality educational offering ranked top universities worldwide role looking curious quick learner interest things numbers join us data insight analyst supporting wide array data processing analytics activities supporting work data analytics insight team part universitys newly formed strategy office day day responsibilities involve preparation data teams across university beyond aiding decision making supporting students contribute wide range work within university whether providing expertise admissions teams understanding data applications analysing league table results organisation wide performance supporting colleagues across organisation data expert helping tell complex story big organisation way accessible wide array audiences looking keen interest data using support decision making able tell complicated story clear concise way someone comfortable handling data using technology whether platform like excel powerbi alteryx something listed willingness ability learn new software southampton use variety tools handle data requests need someone quickly get speed ability work collaboratively team southampton looking someone play key part interest higher education might numbers work far reaching impacts across university information role please contact matthew simpson msimpsonsotonacuk university aim create environment everyone thrive proactive fostering culture inclusion respect equality opportunity believe truly meet objectives reflective society passionate creating working environment free bring whole self work generous holiday allowance well additional university closure days committed supporting staff students open flexible working approach apply online details job description person specification apply midnight closing date assistance contact recruitment recruitmentsotonacuk quoting job number,,nan,nan
indeed,data analyst,,marsh,hybrid remote in norwich nr,real estate speciality seeking candidates following position based norwich office data analyst expect fantastic opportunity join worlds leading global broker within real estate team real estate practice provides commercial real estate advice broking solutions property owners investors predominantly uk europe working wide array clients including banks pension funds investment managers asset managers across large spectrum asset types residential offices warehousing retail role data analyst help define data strategy within practice proactively manage improve approach data gathering handling rewarded offer embrace hybrid working model nurtures collaborative working environment office days per week allowing days per week spent working remote basis competitive benefits package including days annual leave days flexible bank holidays excellent pension contributions private medical cover life assurance income protection employee assistance program plus range flexible benefits including option buy days holiday per year cycle work dental insurance health assessments plus many generous family leave including months paid maternity leave months paid paternity leave months paid adoption leave plus shared parental leave options help ease transition return work able work weeks normal work pattern receive normal salary rely lead improve analysis data exchange across number key real estate clients able identify present changes client data received throughout renewal data collection processes handle reporting insurance data changes data questions internal external stakeholders coordinate client service teams set run processes improve handling real estate insurance data prepare reports dashboards help internal external stakeholders including insurance underwriters understand changes client data manage real estate requests benchmarking information owning data gathering reporting exercises use data analytical skills help facilitate continuous improvement across functions business including management information reports claims reporting need advanced excel skills including ability build using macros understanding working knowledge power bi experience managing various stakeholders adhering agreed timelines good communication skills ability clearly succinctly present data stakeholders relevant employment background preferably least two years experience working insurance commercial real estate sector proven track record managing multiple project streams ability adapt changing priorities curious mind genuine passion data strong analytical problemsolving skills confidence independently source appropriate support solve analysis challenges makes stand data analysis experience within insurance sector marsh marsh worlds leading insurance broker risk adviser colleagues operating countries marsh serves commercial individual clients data driven risk solutions advisory services marsh business marsh mclennan nyse mmc leading global professional services firm areas risk strategy people annual revenue billion marsh mclennan helps clients navigate increasingly dynamic complex environment four marketleading businesses marsh guy carpenter mercer oliver wyman information visit marshmclennancom follow us linkedin twitter marsh mclennan committed embracing diverse inclusive flexible work environment aim attract retain best people embrace diversity age background civil partnership status disability ethnic origin family duties gender orientation expression gender reassignment marital status nationality parental status personal social status political affiliation race religion beliefs sexgender sexual orientation expression skin color characteristic protected applicable law equal opportunities employer committed providing reasonable adjustments accordance applicable law candidate disability allow fully participate recruitment process disability may require reasonable adjustments please contact us taukmmccom marsh mclennan committed hybrid work includes flexibility working remotely collaboration connections professional development benefits working together office hybrid,,nan,nan
indeed,data analyst apprentice,,department for education,nottingham ng,details reference number salary job grade executive officer contract type permanent business area dfe operations infrastructure group type role analytical commercial operational delivery working pattern flexible working fulltime job share parttime number jobs available contents location job benefits things need know apply information location manchester north west england wd nottingham east midlands england ng aw sheffield yorkshire humber fj job job summary httpsyoutubervapvtgvoa encourage applications diverse range candidates dfe proud commitment make diversity inclusion progress made active vibrant staff networks special leave policies workplace adjustments put place need continuing build diverse dfe inclusive environment nurtures realises potential levels equality diversity department education operations directorate responsible main corporate functions department including analysis commercial data estates security finance human resources international education operations delivery technology governance relationship standards dfes public bodies role support business deliver ministerial priorities ensuring department sufficiently resourced people data information finance organised right deliver business objectives efficient effective systems processes driven customer needs underpin services commercial group purpose commercial function within department education ensure commercial procurement activity supports departments priorities delivers outstanding value money also exists proactively develop commercial solutions wider education sector reduce waste procurement release funds front line commercial function manages large diverse set activities across department many high profile complex contracts grants well running highly successful risk protection arrangement academies school buying strategy commercial group currently engaged exciting improvement efficiency programme aim becoming one best commercial teams government exciting opportunity join departments commercial directorate working within commercial intelligence team cit data analyst achieve level apprenticeship data analysis role data analyst role pivotal supporting data transformation analysis reporting within commercial function ever evolving response business need customer facing role successful applicant provide direct help end users via reporting tools power bi may help users via service desk formats needed please see full job description details role includes completion data analysis apprenticeship level please check eligibility requirements using apprenticeship standard data analyst institute apprenticeships technical education must lived uk years prior apprenticeship start date undertaking another apprenticeship time must already substantial amount skills knowledge covered contents apprenticeship standard must already worked similar role previous learning andor work experience covers contents knowledge skills behaviours apprenticeship standard please apply already skills knowledge covered contents apprenticeship standard already worked similar role previous learning andor work experience covers contents knowledge skills behaviours apprenticeship standard degree equivalent data analysis part apprenticeship complete level english maths functional skills qualification already achieved gcses english maths level grade c equivalent higher grade need complete functional skills qualification enrolment stage individuals eligibility checked training provider job description data analyst within commercial intelligence team cit need adaptable ready undertake diverse range tasks working fastpaced environment need good time management skills need eye detail problemsolving abilities flexible adaptable responding evolving priorities possess excellent interpersonal skills ability communicate nontechnical manner internal external stakeholders successful applicant gain strong foundation data analysis business information systems data management well strategic insight commercial activities within dfe role give successful candidate exposure wider organisation cross government oversight demanding rewarding post join highly capable dynamic supportive team exclusive exhaustive list post holder required perform additional duties reasonably expected person specification responsibilities role holder include following supporting development data products dashboards reports analysis supporting service users keeping data clean accurate fit purpose supporting coordination data submissions collection cabinet office government commercial function front line helpdesk cover commercial systems providing administrative support across team may include supporting projects team plans applicable role business area ensure work products processes outputs recorded organised manor maintained according cit procedures manage diverse range tasks running concurrently demanding timescales role may require travel departmental sites essential criteria excellent communication customer service skills experience working high paced fast changing role strong problemsolving skills eye detail demonstrate ability communicate effectively technical nontechnical colleagues levels verbal written communications esirable criteria strong mathematical skills demonstrated relevant experience encourage applications meet desirable criteria used unlikely event tie break situation interview stage behaviours well assess behaviours selection process changing improving managing quality service technical skills well assess technical skills selection process experience working high paced fast changing role strong problemsolving skills eye detail benefits applicants currently holding permanent post civil service note successful salary appointment would determined departments transfer promotion policies member dfe entitled join highly competitive civil service pension scheme many experts agree one generous uk average employer contribution days leave increasing day every year maximum days five years service addition staff receive kings birthday privilege holiday days bank public holidays offer flexible working arrangements job sharing termtime working flexitime compressed hours dfe employees working hybrid pattern spending least time office work setting changes working arrangements available exceptional circumstances must agreed line manager line requirements role travel primary office location paid dfe costs travel office main location covered organisation exists support education lifelong learning offer staff excellent professional development opportunities things need know selection process details vacancy using success profiles opens new window assess behaviours experience technical skills stage application sift first selection stage paper sift cv personal statement assessed based demonstration essential criteria role cv cover details education professional qualifications employment history well giving details relevant skills experience personal statement maximum words include details meet essential criteria detailed person specification please including examples evidence cases high number applications sift pass mark may adjusted candidates invited interview merit order ie scoring highest may also conduct short sift key criteria outlined experience working high paced fast changing role strong problemsolving skills eye detail stage interview candidates successfully pass sift invited interview interview assessed using following success profile elements technical behaviours information reserve right raise minimum pass mark event high volume strong field candidates please aware role worked uk location options provided overseas government committed supporting apprenticeships enabling people learn progress role whilst earning want monitor number people completed apprenticeships applying progress career asking question candidates vacancies asked question part application process previous apprenticeships completed response question affect application requirement role completed previous apprenticeship dfe cannot offer visa sponsorship candidates campaign dfe holds visa sponsorship licence used certain roles campaign qualify successful transferring another government department criminal record check maybe carried order process applications without delay sending criminal record check disclosure barring service behalf however recognise exceptional circumstance candidates want send completed forms direct please advise department education intention emailing preemploymentchecksdfeeducationgovuk stating job reference number subject heading department education cover cost travel interviewassessment unless otherwise stated reserve list may held period months appointments made candidates posted merit order based upon location preference one location advertised asked state preferred location new entrants expected join minimum pay band applicants successful interview part preemployment screening subject check internal fraud database ifd check provide information employees dismissed fraud dishonesty offences check also applies employees resign otherwise leave dismissed fraud dishonesty employment continued applicants details held ifd refused employment terms conditions candidates transferring albs ndpbs bodies accredited civil service commission able advertise across government civil service jobs treated external new starters come dfe modernised terms conditions salary band minimum bodies accredited civil service commission civil service status offered modernised terms continuous service recognised leave sickness benefits salaries offered band minimum flexibility would cause detriment individual bodies accredited civil service commission civil service status treated ogd transfers staff appointed lateral transfer move premodernised dfe terms unless modernised terms previous organisation staff appointed promotion move modernised dfe terms staff transfer existing salary lateral transfer pay dfe pay band maximum paid mark time allowance staff moving promotion salaries calculated using principles set attached ogd transfer supplementary information reasonable adjustment person disabilities put substantial disadvantage compared nondisabled person duty make reasonable changes processes need change made make application contact department education via centralrecruitmentoperationseducationgovuk soon possible closing date discuss needs complete assistance required section additional requirements page application form tell us changes help might need recruitment process instance may need wheelchair access interview youre deaf language service professional move department education dfe mean longer able carry claiming childcare vouchers includes moves government departments may however eligible government schemes including taxfree childcare determine eligibility httpswwwchildcarechoicesgovuk feedback provided attend interview assessment security successful candidates must undergo criminal record check people working government assets must complete baseline personnel security standard opens new window checks nationality requirements job broadly open following groups uk nationals nationals republic ireland nationals commonwealth countries right work uk nationals eu switzerland norway iceland liechtenstein family members nationalities settled presettled status european union settlement scheme euss opens new window nationals eu switzerland norway iceland liechtenstein family members nationalities made valid application settled presettled status european union settlement scheme euss individuals limited leave remain indefinite leave remain eligible apply euss december turkish nationals certain family members turkish nationals accrued right work civil service information nationality requirements opens new window working civil service civil service code opens new window sets standards behaviour expected civil servants recruit merit basis fair open competition outlined civil service commissions recruitment principles opens new window civil service embraces diversity promotes equal opportunities run disability confident scheme dcs candidates disabilities meet minimum selection criteria civil service also offers redeployment interview scheme civil servants risk redundancy meet minimum requirements advertised vacancy apply information vacancy part great place work veterans opens new window initiative job closed job advert longer available may want save copy records contact point applicants job contact name commercial recruitment team email recruitmentcommercialeducationgovuk recruitment team email advertsrecruitmentdfeeducationgovuk information department educations recruitment processes underpinned civil service commissioners recruitment principles outlines selection appointment made merit based fair open competition right complain feel department breached requirement recruitment principles first instance raise matter directly department concerned via centralrecruitmentoperationseducationgovuk satisfied response may bring complaint commission information bringing complaint civil service commission please visit web pages,,nan,nan
indeed,business analyst for data strategy,,leeds building society,hybrid remote in leeds,branchdepartment mortgage transformation change location head office sovereign street leeds contract type permanent salary negotiable bonus vacancy working pattern monday friday pm hour lunch hours per week offer business analyst data strategy hybrid working model work home rest time flexibly based brand new sustainable head office leeds city centre minutes walk train station offer competitive rewards package including generous colleague bonus matched pension contributions days holiday plus holiday purchase scheme development opportunities volunteering days friendly supportive culture help best future role currently looking recruit business analysts looking new challenge proactive passionate making difference business transformation environment exciting opportunity part corporate transformation deliver new target operating model data strategy future payments capabilities work closely product owners technical smes perform end end business analysis gathering business requirements converting requirements rest squad develop deliver work wide range internal external stakeholders ensure analysis robust proportionate change question bring role experienced business analyst strong background endtoend business analysis lifecycle eg requirements gathering business readiness delivery worked complex problems require management multiple stakeholders great people skills independently driven agile mindset essential excel role understanding agile waterfall methodology frameworks advantageous experience working data strategy led projects payments roadmaps initiatives essential eg data migration data exploitation data related improvement strategy within business target operating model experience part rolling made improvements existing one bcs qualification desirable essential financialbanking sector experience desirable essential choose leeds building society business centred around community people society embarking exciting period growth transformation ambitious plans guided strong foundations financial security love give colleagues opportunity thrive encouraging take challenges meet needs current future members colleagues heart everything extremely proud threestar best companies accreditation highest rating recognises worldclass levels engagement leeds building society proud equal opportunity employer committed equal employment opportunities regardless race colour ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity disability special need requires accommodation please contact us,,nan,nan
indeed,business analyst,,customer and local services,jersey,employer customer local services job number soj closing date dec post requires years residency yes post requires criminal records bureau crb clearance yes standard contract type permanent full time part time full time term time working hours hours per week shift details na salary gbp per year job summary transform programme multiyear programme replace legacy systems within customer local services redesigning services systems make easy customers exciting opportunity candidates customercentric service design experience business data analysis skillsets permanent fixedterm roles available feel offer support please apply contact programme manager kieran heaney via email kheaneygovje inclusive employer create opportunities flexible working attract retain talent reflects diversity communities serve welcome applications working flexible hours parttime working job sharing,,nan,nan
