index,Job Title,Salary Estimate,Company Name,Description,Location
10,Data Scientist II,"$140,500",Leprino Foods3.4 ★,"Within our Corporate Technical Services & MES team located in Denver – Leprino has created a new opening for a Data Scientist II (Candidates will also be considered for Data Scientist I-level) to elevate our manufacturing operations to new heights of manufacturing efficiencies through the use of IoT, machine learning, and artificial intelligence! We take pride in our commitment to not only produce, but to innovate for the future.

At Leprino Foods, starting compensation for this role typically ranges between $126,000 and $155,000. This position has an annual target bonus of 10%.

Develop predictive models that forecast production outcomes and pinpoint quality enhancements.





Show more
Report","Denver, CO"
11,Junior Data Scientist,"$115,000",HawkEye3603.4 ★,"The Junior Data Scientist will be responsible for supporting the development of the next generation of AI solutions at Hawkeye 360. They will focus on areas of analytics exploration which will separate HawkEye 360 from the field of competitors. They will harness the power of AI,Machine Learning and Hawkeye 360's unique RF data to improve maritime domain situational awareness, further boosting HawkEye 360's dominance in this market.

The right candidate must be a creative problem solver who can look beyond the data to see underlying trends and patterns. They will need to leverage their knowledge of statistics, machine learning, and AI to create effective solutions to tackle real-world problems. The candidate will also need to leverage multiple data modalities to create solutions, so a good understanding of combining different data sources is key. Additionally, they will collaborate with engineering to transition R&D analytical solutions to production level code, integrating these solutions into existing pipelines.

As the Junior Data Scientist, your main responsibilities will be:




$90,000 - $140,000 annually

HawkEye 360 offers a compensation package that includes a competitive base salary plus annual performance bonus, stock options, and benefits. We consider many factors when determining salary offers, such as candidate's work experience, education, training & skills, as well as market and business considerations. We are also open to considering candidates with experience and qualifications at a different level than required in a job posting, which may affect the compensation package offered.


HawkEye 360 is delivering a revolutionary source of global knowledge based on radio frequency (RF) geospatial analytics to those working to make the world a safer place. The company operates a commercial satellite constellation that detects, geolocates, and identifies a broad range of signals & behaviors. We employ cutting edge AI techniques to equip our global customers with high-impact insights needed to make decisions with confidence. HawkEye 360 is headquartered in Herndon, Virginia.

HawkEye 360 is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity Employer, making decisions without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, marital status, national origin, age, veteran status, disability, or any other protected class.

HawkEye 360 does not accept unsolicited agency resumes. Please do not forward resumes to our jobs alias, HawkEye 360 employees or any other organization location. HawkEye 360 is not responsible for any fees related to unsolicited resumes.
Show more
Report","Herndon, VA"
12,Data Analyst – Data Entry,"$32,500",Juristat,"Juristat is building an innovative suite of products, and we need the team to create those tools. We’re seeking a highly motivated and organized individual to join our data team as a Data Analyst. This team is responsible for acquiring and analyzing the most complete and accurate data available to grow our products and inform our business strategies.
This particular team member will be responsible for analyzing incoming legal documents in real-time to detect and correct errors in our processing, enter data from the source documents into templates, annotate legal documents, and provide feedback to others, to improve our proprietary artificial intelligence.
This role is 100% remote work-from-home. If you possess high attention to detail and a strong work ethic – this is the job for you!

ABOUT THE POSITION


Show more
Report",Remote
13,Data Scientist,"$165,000",NTWRK3.6 ★,"Company And Culture
Launched in 2018, NTWRK is a curated marketplace that brings together the world’s most influential artists, brands, and personalities to create and celebrate culture. Rooted in sneakers, streetwear, and all things collectible, NTWRK offers unprecedented access to rare and exclusive products, while fostering communities of buyers and sellers, through livestream shopping.
NTWRK’s unique approach connecting entertainment and shopping has attracted investment from the likes of Jimmy Iovine, Live Nation, Main Street Advisors, Goldman Sachs, Kering, and UTA Ventures, among others.
Join us to help redefine the way people shop, while building a global marketplace that moves at the speed of culture. NTWRK is committed to building a high performing team that is passionate about what they do and the communities we serve.









Show more
Report","Los Angeles, CA"
14,"Decision Scientist, Fraud Risk - Afterpay","$122,981",Afterpay3.6 ★,"Company Description
It all started with an idea at Block in 2013. Initially built to take the pain out of peer-to-peer payments, Cash App has gone from a simple product with a single purpose to a dynamic ecosystem, developing unique financial products, including Afterpay/Clearpay, to provide a better way to send, spend, invest, borrow and save to our 47 million monthly active customers. We want to redefine the world’s relationship with money to make it more relatable, instantly available, and universally accessible.

Today, Cash App has thousands of employees working globally across office and remote locations, with a culture geared toward innovation, collaboration and impact. We’ve been a distributed team since day one, and many of our roles can be done remotely from the countries where Cash App operates. No matter the location, we tailor our experience to ensure our employees are creative, productive, and happy.

Check out our locations, benefits, and more at cash.app/careers.






Show more
Report","San Francisco, CA"
15,Data Scientist (Remote),"$94,613",Vail Resorts3.3 ★,"As a leading mountain resort operator with over 40 resorts in sixteen states and four countries. We exist to create an Experience of a Lifetime for our employees, so they can, in turn, provide and Experience of a Lifetime for our guests. We are looking for leaders, innovators, creators, and ambitious professionals to join our talented team. If you’re ready to pursue your fullest potential, we want to get to know you!

Many of our Corporate function teams can now live and work in any of the states in which Vail Resorts currently operates* – enabling flexible remote work alongside a commitment to building and maintaining strong culture both in person and virtually. If you’re ready to pursue your fullest potential, we want to get to know you. Find your purpose with us at www.vailresortscareers.com.












Show more
Report",United States
16,Data Scientist - Remote,"$100,450",Optum3.7 ★,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health equity on a global scale. Join us to start Caring. Connecting. Growing together.

We are seeking an experienced business analyst to provide expert-level insight and analysis on our processes and applications. You will advise on process improvement by identifying new opportunities and applying the best practices within the health care business. Additionally, you will provide support to the development and business teams by application testing and evaluations of technical procedures.










Show more
Report","Plymouth, MN"
17,Python Data Scientist,$95.00,Synovize5.0 ★,"Synovize is a leading technology company specializing in advanced data analytics and intelligence solutions. Our mission is to empower businesses with the tools and insights they need to make data-driven decisions and drive innovation. We are committed to delivering exceptional results by combining our expertise in cutting-edge technologies with our passion for creating impactful solutions.
Job Description:
As a Python Data Scientist at Synovize, you will play a crucial role in analyzing complex datasets, developing statistical models, and extracting valuable insights for our clients. You will collaborate with a talented team of data scientists, engineers, and domain experts to deliver innovative data-driven solutions. Your expertise in Python programming and data science techniques will contribute to solving challenging business problems and driving meaningful outcomes.
Show more
Report",United States
18,Health Data Scientist 1,"$110,000",Public Consulting Group3.8 ★,"Overview:
About Public Consulting Group
Public Consulting Group LLC (PCG) is a leading public sector solutions implementation and operations improvement firm that partners with health, education, and human services agencies to improve lives. Founded in 1986, PCG employs approximately 2,000 professionals throughout the U.S.—all committed to delivering solutions that change lives for the better. The firm is a member of a family of companies with experience in all 50 states, and clients in six Canadian provinces and Europe. PCG offers clients a multidisciplinary approach to meet challenges, pursue opportunities, and serve constituents across the public sector. To learn more, visit www.publicconsultinggroup.com.
Responsibilities:

Qualifications:

Compensation:
EEO Statement:
Show more
Report",United States
19,Data Scientist,"$107,566",Hyperspace Ventures3.8 ★,"Durham, NC | Austin, TX | Remote | Full Time
Data Scientist
We're looking for Data Scientists to work on our core and business products to help shape the future of what we build at Hyperspace Ventures. You will enjoy working with various data sets, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product.

Responsibilities:






Show more
Report","Durham, NC"
20,Staff Data Scientist,"$226,000",Databricks4.5 ★,"P-57
At Databricks, we are obsessed with enabling data teams to solve the world's toughest problems, from security threat detection to cancer drug development. We do this by building and running the world's best data and AI infrastructure platform, so our customers can focus on the high value challenges that are central to their own missions.
Founded in 2013 by the original creators of Apache Spark, Databricks has grown from a tiny corner office in Berkeley, California to a global organization with over 1000 employees. Thousands of organizations, from small to Fortune 100, trust Databricks with their mission-critical workloads, making us one of the fastest growing SaaS companies in the world.
Our engineering teams build highly technical products that fulfill real, important needs in the world. We constantly push the boundaries of data and AI technology, while simultaneously operating with the resilience, security and scale that is critical to making customers successful on our platform.

Show more
Report","San Francisco, CA"
21,Data Scientist,,Oracle3.8 ★,"Our Team
The SaaS Engineering, Cloud Decision Support team is responsible for managing, forecasting and optimizing Oracle’s Cloud SaaS footprint and Costs on OCI (Oracle Cloud Infrastructure) and advising SaaS Engineering Leadership. We have built a SaaS Cloud Data Framework and Decision Support System (SDS) for SaaS Demand/Capacity Forecasting and Reporting, SaaS Service Performance and Monitoring, and Data Science enhanced business insights/operational triggers to manage SaaS Operational Services and budgets. We are at an exciting stage where we are building automated, data science driven applications to optimize our SaaS Cloud environments, so now is the time to join us and make a difference in how Oracle proactively manages Cloud resources to support our SaaS customers!
We are searching for an experienced Data Scientist to:

Show more
Report",United States
22,Data Scientist,"$152,175",U.S. Army Contracting Command3.8 ★,"Duties
Utilizes analytics, acquisition, and data science to plan, conduct, and present complex contracting and financial systems analyses.
Develops data set processes.
Leverages analytical and statistical applications to produce superior analysis products.
Acts as subject matter expert (SME) on a variety of data science principles and concepts to construct data fusion products that merge data from different systems.
Create novel information that improves decision-making and mission accomplishment.
Requirements





































Show more
Report","Wallops Island, VA"
23,Data Scientist,"$138,425",Colgate-Palmolive4.3 ★,"No Relocation Assistance Offered
# 154386 - Piscataway, New Jersey, United States
Ready for a career that combines global collaboration, continuous learning, and positive impact? At Colgate, we offer you the chance to be a part of something bigger than just a job!

Our iconic brands, sustainability commitment, and innovative culture set the stage for an inspiring workplace. We value creativity, experimentation, and authenticity, driving our enduring success and building a future to smile about for our employees, consumers, and communities.

As a Data Scientist on our Advanced Analytics team, you'll shape Colgate's future by developing powerful data products, implementing machine learning models, and optimizing our data science architecture. Join our collaborative team of innovators and technologists.
Your role? Lead advanced analytics projects for our Global Supply Chain, using your discernment and technical skills to generate insights that drive business decisions.

Unlock a career that leaves you smiling every day at Colgate!









Show more
Report","Piscataway, NJ"
24,"Data Scientist, Core AI","$150,000",Indeed4.2 ★,"Our Mission
As the world’s number 1 job site*, our mission is to help people get jobs. We strive to cultivate an inclusive and accessible workplace where all people feel comfortable being themselves. We're looking to grow our teams with more people who share our enthusiasm for innovation and creating the best experience for job seekers.
(*comScore Total Visits, September 2023)
Day to Day
Indeed is the world’s largest marketplace for jobs, and we have a unique dataset of jobs, resumes, applications, and outcomes. The Core AI team is a research and development group that collaborates with partners across the company. We address ""big picture"" problems with strategic initiatives, and aim to deliver transformative, long-term value.
Show more
Report",Remote
25,Data Scientist,"$100,328",U.S. Bank National Association3.7 ★,"At U.S. Bank, we’re on a journey to do our best. Helping the customers and businesses we serve to make better and smarter financial decisions and enabling the communities we support to grow and succeed. We believe it takes all of us to bring our shared ambition to life, and each person is unique in their potential. A career with U.S. Bank gives you a wide, ever-growing range of opportunities to discover what makes you thrive at every stage of your career. Try new things, learn new skills and discover what you excel at—all from Day One.
Job Description
We are currently seeking a Data Scientist for our OR& A team. This role will be a critical member of the development team responsible for the design, development, implementation and support of standardized reports, dashboards, and ad hoc data acquisition.

Show more
Report",Texas
26,Data Scientist,$62.50,Pinnacle Technical Resources3.7 ★,"Data Scientist (Senior – Advanced Analytics)
Work Location - Atlanta GA 30319 or Bothell WA 98011 (hybrid)
Positions Requested - 1
Hours per Day - 8
Hours per Week - 40
Total Hours – 3-year contract

Project Name: Digital Omni Channel Analytics

Comments: Location: Atlanta, GA or Bothell, WA, open to relocation candidates if at their own expense and they are onsite by day one. Selected candidate will work in office 2-3xwk. Candidate required to be a U.S. Citizen or U.S. National

: Engineers and Analyzes data from multiple sources including datalakes, internal/external data, data warehouses, etc. Uses predictive modeling, statistics, trend analysis, and other data analysis techniques to collect, explore, and identify the appropriate data to be analyzed to explain or predict behavior, solve a variety of business problems, and build business cases. Also responsible for analyzing and engineering data and instrumentation in response to new business requests, performing maintenance and changes on interfaces, and identifying and resolving data discrepancies across multiple business applications.



: business case development, data analytics modeling using tools (Ex: including but not limited to: Tableau, Palantir, Power BI, Databricks, AWS Azure, Synapse, H2O Driverless AI, etc.), and business process integration.

: Works directly with the client user community and business analysts to define and document data and instrumentation requirements for data integration and business intelligence applications.

: Senior level technical expertise.

: Preferred master degree in data science, engineering, or computer science or equivalent experience.

: Typically 5 - 8 years experience.

Pay Range: $50 - $75/HR W2
The specific compensation for this position will be determined by a number of factors, including the scope, complexity and location of the role as well as the cost of labor in the market; the skills, education, training, credentials and experience of the candidate; and other conditions of employment.
Our full-time consultants have access to benefits including medical, dental, vision as well as 401K contributions.
Show more
Report","Atlanta, GA"
27,Data Scientist,,Frankenmuth Insurance Company4.3 ★,"Summary: Under direct supervision and following standard procedures, applies advanced analytical techniques to complex data sets to develop distinctive analytical and risk insights that deliver improvements in business results; structures business challenges/opportunities for data sourcing, insight generation, and testing; and generates distinctive analytical and risk insights while working with one or more business units such as Personal Lines, Commercial Lines, Claims, IT and Marketing, by performing the following duties.

Essential Duties and Responsibilities:
1. Understands ratemaking and reserving actuarial principles and researches and applies those principles to business problems.
2. Acts as a strong contributor to distinctive analytical and risk insights within the Actuarial, Risk, & Compliance Services team by:
a. Understanding and structuring business challenges and opportunities for insights
b. Generating insights, drawing from a broad range of sources and functions
c. Scanning a broad spectrum of internal/external, structured/unstructured data sources to define the optimal data set for testing the hypotheses, and partnering across the organization to connect these data sources to build the data set
d. Presenting insights and recommendations to business units
e. Establishing and maintaining collaborative relationships throughout the organization

3. Tests and validates hypotheses to generate risk insights that can deliver improved business results.
4. Assists with synthesizing risk insights into compelling ideas and messages.
5. Assists with the development of improvements to analytical techniques for generating insight.
6. Assists with the preparation of internal/external, structured/unstructured data sets to build and refresh predictive models.
7. Maintains a working knowledge of loss reserving software and rate modeling software.
8. Performs other duties as assigned.


To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.


Bachelor’s degree (B.A.) from four-year college or university; or one to two years of internship experience and/or training; or equivalent combination of education and experience.

A minimum requirement for this position is the ability to work legally in the United States. No visa sponsorship/support is available for this position, including for any type of U.S. permanent residency (green card) process.
Show more
Report",Michigan
28,Data Scientist,"$102,000",,"The Data Scientist is responsible for developing algorithms for the prediction of educational outcomes from attendance records, graduation rates, suspension and k-12 test data. The Data Scientist implements state of the art algorithms, apply off the shelf AI and date centric tools, as well as collect, maintain, and store user data.
Description
Responsibilities:
Develop and implement algorithms on a variety of data sources and on a variety of educational outcomes.
Research and implement state-of-the-art AI algorithms on all platforms.
Apply off-the-shelf AI and data-centric tools.


Show more
Report","Pasadena, CA"
29,Data Scientist,,Integra Connect3.3 ★,"Company Summary:
We are a value-based, precision medicine company specializing in solutions for providers, patients, life science and EMS companies. With the emergence of value-based care, Integra Connect’s mission is to help specialty care providers succeed both clinically and financially. We accomplish this through a comprehensive offering of technology and services, unified by our cloud-based platform, combined with unmatched industry expertise. We are looking for like-minded individuals committed to making a difference in healthcare. Come join our growing team!
Job Description:
The Data Scientist will be a key member of the Data Science and AI team within the precision oncology organization. The Data Science and AI team is responsible for developing innovative analytical solutions and products that benefit the entire enterprise. The team generates insights for providers, payers, pharma, and biotech by leveraging the available healthcare data from electronic medical records, healthcare claims, pharmacy claims, and genomics data for oncology, urology, and other patients via the Integra precision oncology platform. Utilizing analytical, statistical, and programming skills to collect, analyze, and interpret large data sets, the Data Scientist will extract meaningful information from all patient data from our rapidly growing network of healthcare practices. The solutions created by the Data Scientist will positively impact patient outcomes while reducing the cost of healthcare.
Show more
Report",Remote
30,Data Scientist,,Yext4.1 ★,"Yext (NYSE: YEXT) helps organizations build digital experiences across any channel on our open and composable platform. The Yext Digital Experience Platform collects and organizes content to deliver AI-led experiences for any organization's customers, employees, or partners. For more than 15 years, thousands of companies worldwide have trusted Yext to create seamless customer experiences at scale across search engines, websites, mobile apps, and hundreds of other digital touchpoints. Learn more at yext.com.
As a Data Scientist you will shape how data is collected, transformed, and used to develop essential new capabilities and features for Yext's products! We manage large amounts of structured master data on behalf of some of the world's largest companies and collect transactional data through end-user-facing applications we host directly for these clients. Our mission is to deeply understand user intent, so we can deliver relevant and accurate answers to questions, everywhere people interact with our customer's digital experiences (mapping services, websites, search, chat, etc.).
Show more
Report",United States
31,Data Scientist II,"$102,645",Cencora3.5 ★,"Our team members are at the heart of everything we do. At Cencora, we are united in our responsibility to create healthier futures, and every person here is essential to us being able to deliver on that purpose. If you want to make a difference at the center of health, come join our innovative company and help us improve the lives of people and animals everywhere. Apply today!
What you will be doing
Summary:
The Enterprise Data and Analytics (ED&A) group at Cencora is looking for a senior data scientist interested in leveraging internal and external data to answer a myriad of business questions related to sourcing, pricing, and distribution of pharmaceuticals across the United States. These problems may include segmenting customers by purchasing behavior, modelling customer lifetime profitability, forecasting financial and operational metrics, predicting win/loss rates in contract negotiations, and others.
Full time
$84,400 - 120,890
Affiliated Companies: AmerisourceBergen Services Corporation
Show more
Report","Conshohocken, PA"
32,Data Scientist,"$77,500","Ovative Group, LLC4.3 ★","About Ovative Group:
Ovative Group is the premier independent media and measurement firm in the United States. We help change-makers, in fast-growing, customer-centric organizations across industries reinvent their marketing and measurement programs. We leverage our media, measurement, and consulting capabilities to help brands like Coach, Kate Spade, Stuart Weitzman, Facebook, The Home Depot, CVS, Disney, and UnitedHealth Group transform their media and marketing programs. Our proprietary approach to measuring and optimizing marketing investment decisions, Enterprise Marketing Return (EMR), is disrupting the industry and setting the gold standard for customer and marketing strategy, activation, and measurement.
Recognized eight consecutive years on Star Tribune’s list of Top 150 Workplaces and five years on Inc. 5000’s list of the fastest-growing private companies in America, we pride ourselves in always overdelivering for our clients, our teams, and our communities.
Show more
Report","Minneapolis, MN"
33,Data Scientist,"$95,082","Perry Homes, LLC3.9 ★","The Data Scientist will focus on researching, evaluating, and implementing algorithms for supplier collaboration to ensure low costs and maximize revenue. This role will also be responsible to envision, develop, and implement supply chain solutions to maintain low rates of days under construction for new homes. This role will present data findings, describe cost-benefit opportunities, and provide solution recommendations to key stakeholders. This role will help the team expand current analytic capability and be critical in developing unique tools that will provide value to the operation of the business.
Responsibilities
Implement forecasting techniques to predict days under construction for new homes.
Deploy recommendations to minimize days under construction for new homes.


Show more
Report","Houston, TX"
